,Car_Name,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Weight,Insp_score,top_speed,City_url,Car_price
8128,2016 Maruti Wagon R,Petrol,"18,363 kms",998,Manual,20.51 kmpl,5,Silver,67,Ventilated Disc,Drum,180-liters,1700,1495,3599,1350,9,152 kmph,https://www.cardekho.com/used-cars+in+mumbai,4.45 Lakh
8129,2016 Maruti Wagon R,Petrol,"18,363 kms",998,Manual,20.51 kmpl,5,Silver,67,Ventilated Disc,Drum,180-liters,1700,1495,3599,1350,9,152 kmph,https://www.cardekho.com/used-cars+in+mumbai,4.45 Lakh
8130,2016 Hyundai i20,Petrol,"60,043 kms",1197,Manual,18.6 kmpl,5,Silver,81.83,Disc,Drum,295-litres,1505,1734,3985,-,7.5,170 Kmph,https://www.cardekho.com/used-cars+in+mumbai,5.64 Lakh
8131,2018 Maruti Celerio,Petrol,"21,855 kms",998,Manual,23.1 kmpl,5,Silver,67.04,Ventilated Disc,Drum,235-litres,1560,1600,3695,1250,9.5,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,5.58 Lakh
8132,2017 Maruti Wagon R,Petrol,"25,378 kms",998,Automatic,20.51 kmpl,5,White,67,Ventilated Disc,Drum,180-liters,1700,1495,3599,1350,9,152 kmph,https://www.cardekho.com/used-cars+in+mumbai,4.34 Lakh
8133,2016 Honda Jazz,Petrol,"72,471 kms",1199,Manual,18.7 kmpl,5,White,88.7,Disc,Drum,354-litres,1544,1694,3955,-,9,172 Kmph,https://www.cardekho.com/used-cars+in+mumbai,4.79 Lakh
8134,2017 Maruti Swift Dzire,Diesel,"56,029 kms",1248,Automatic,28.4 kmpl,5,Blue,74.02,Disc,Drum,378,1515,1735,3995,1405Kg,9,,https://www.cardekho.com/used-cars+in+mumbai,7.33 Lakh
8135,2017 Maruti Celerio,Petrol,"61,759 kms",998,Manual,21.63 kmpl,5,Silver,67.05,Ventilated Disc,Drum,235-litres,1560,1600,3695,1250,7.5,,https://www.cardekho.com/used-cars+in+mumbai,4.61 Lakh
8136,2014 Maruti Wagon R,Petrol,"28,734 kms",998,Manual,21.79 kmpl,5,Grey,67.05,Disc,Drum,341 Litres,1675,1620,3655,1340,9,,https://www.cardekho.com/used-cars+in+mumbai,3.63 Lakh
8137,2016 Maruti Swift Dzire,Diesel,"24,492 kms",1248,Manual,26.59 kmpl,5,White,74,Ventilated Disc,Drum,320-liters,1555,1695,3995,1505,7.5,169 Kmph,https://www.cardekho.com/used-cars+in+mumbai,7.04 Lakh
